TIMESTAMP,WIDGET-TYPE,ANS,ECG,EDA
2019-04-19 05:44:12,emoscale1,2.0,0.9699945249963614,0.9434948706786981
2019-04-19 05:44:30,emoscale1,2.0,0.7328134776173943,1.5165963669289722
2019-04-19 05:44:47,emoscale1,4.0,1.1550671219775823,1.3255625348455506
2019-04-19 05:45:05,emoscale1,3,-0.942489422004566,0.9434948706786981
2019-04-19 05:45:22,emoscale1,2.0,1.209462308466883,1.5165963669289722
2019-04-19 05:45:40,emoscale1,2.0,-0.062390162535557785,1.3892404788733594
2019-04-19 05:45:57,emoscale1,1.0,0.49890385859658265,1.0071728147065069
2019-04-19 05:46:15,emoscale1,1.0,0.06480769763919429,0.6887830945674631
2019-04-19 05:46:32,emoscale1,5.0,0.808278010361122,0.49774926248403223
2019-04-19 05:46:50,emoscale1,4.0,0.8990850675801457,0.9434948706786981
2019-04-19 05:47:07,emoscale1,4.0,-1.473295923922895,1.3892404788733594
2019-04-19 05:47:25,emoscale1,3,-0.2547816432374841,1.1345287027621198
2019-04-19 05:47:42,emoscale1,2.0,-1.8823471661863762,0.49774926248403223
2019-04-19 05:48:00,emoscale1,4.0,0.3621654391301433,-0.2027081218218617
2019-04-19 05:48:17,emoscale1,4.0,-2.74848235789446,0.8798169266508847
2019-04-19 05:48:35,emoscale1,1.0,0.42571805992341366,0.8161389826230759
2019-04-19 05:48:52,emoscale1,3,-0.5697900299206684,1.0071728147065069
2019-04-19 05:49:10,emoscale1,3,-0.6283518431322458,1.2618845908177418
2019-04-19 05:49:27,emoscale1,2.0,0.11862137554606554,0.3067154304006106
2019-04-19 05:49:45,emoscale1,3,-0.4216495360654888,0.4340713184562281
2019-04-19 05:50:02,emoscale1,1.0,0.883705894379481,-0.13903017779405297
2019-04-19 05:50:20,emoscale1,4.0,0.180925567134604,-1.1578772822389929
2019-04-19 05:50:37,emoscale1,4.0,1.0603360049026949,-0.7758096180721404
2019-04-19 05:50:55,emoscale1,2.0,0.6965594136962472,-1.3489111143224193
2019-04-19 05:51:13,emoscale1,2.0,-0.13566723525302976,-0.9668434501555644
2019-04-19 05:51:30,emoscale1,1.0,0.7269319814572559,-0.9031655061277556
2019-04-19 05:51:48,emoscale1,4.0,0.16689286003987752,-0.2663860658496681
2019-04-19 05:52:05,emoscale1,2.0,0.055465060688519974,-1.4125890583502279
2019-04-19 05:52:23,emoscale1,1.0,0.8186312571411913,-2.3040802747395506
2019-04-19 05:52:40,emoscale1,4.0,-2.8824331392572438,-2.1130464426561244
2019-04-19 05:52:58,emoscale1,4.0,0.7023486548473155,-1.2215552262667995
2019-04-19 05:53:15,emoscale1,2.0,-2.2631132663956803,-0.45741989793309673
2019-04-19 05:53:33,emoscale1,1.0,-0.03287904317967017,-0.3937419539052926
2019-04-19 05:53:50,emoscale1,4.0,-0.4833129993105512,-0.3937419539052926
2019-04-19 05:54:08,emoscale1,3,0.5249607741418395,-0.45741989793309673
2019-04-19 05:54:25,emoscale1,3,-1.4033087056560605,0.49774926248403223
2019-04-19 05:54:43,emoscale1,2.0,1.07189670093528,0.4340713184562281
2019-04-19 05:55:00,emoscale1,1.0,1.0526842894960673,0.37039337442841935
2019-04-19 05:55:18,emoscale1,3,1.3134482840859896,0.6887830945674631
2019-04-19 05:55:35,emoscale1,3,0.8372024478370286,-0.011674289738433149
2019-04-19 05:55:53,emoscale1,2.0,1.0551410952753362,-0.3300640098774769
2019-04-19 05:56:10,emoscale1,4.0,-0.47173197886446644,-1.3489111143224193
2019-04-19 05:56:28,emoscale1,2.0,-1.1556529458772555,-0.2663860658496681
2019-04-19 05:56:45,emoscale1,1.0,0.39997716285038987,0.7524610385952718
2019-04-19 05:57:03,emoscale1,1.0,0.34122746632587136,0.6251051505396543
2019-04-19 05:57:20,emoscale1,3,0.7615900779336936,0.49774926248403223
2019-04-19 05:57:38,emoscale1,2.0,1.1589876373058403,-0.13903017779405297
2019-04-19 05:57:55,emoscale1,2.0,-1.2970048520922048,-0.07535223376624653
2019-04-19 05:58:13,emoscale1,3,-0.06026833384231689,0.9434948706786981
2019-04-19 05:58:31,emoscale1,2.0,0.08694863499209267,0.37039337442841935
2019-04-19 05:58:48,emoscale1,1.0,-0.7393777993786993,0.3067154304006106
2019-04-19 05:59:06,emoscale1,3,-0.24869109397356295,-0.5847757859887119
2019-04-19 05:59:23,emoscale1,1.0,0.5661256697400089,-1.094199338211184
2019-04-19 05:59:41,emoscale1,2.0,0.04210045195006007,-2.0493684986283154
2019-04-19 05:59:58,emoscale1,3,0.13673755358350623,-2.877181770989829
2019-04-19 06:00:16,emoscale1,3,-0.09390718117809388,0.2430374863727972
2019-04-19 06:00:33,emoscale1,3,0.16064879832588022,-0.13903017779405297
2019-04-19 06:00:51,emoscale1,2.0,-0.25988268412632404,-0.2027081218218617
2019-04-19 06:01:08,emoscale1,2.0,-2.35037919656139,-0.5847757859887119
2019-04-19 06:01:26,emoscale1,1.0,0.8147978589453317,-0.011674289738433149
